,ARREST_YEAR,ARREST_MONTH,OFNS_DESC,ARREST_BORO,n
308,2011,2,F.C.A. P.I.N.O.S.,Q,29
309,2011,2,F.C.A. P.I.N.O.S.,S,2
310,2011,2,FELONY ASSAULT,B,227
311,2011,2,FELONY ASSAULT,K,342
312,2011,2,FELONY ASSAULT,M,152
313,2011,2,FELONY ASSAULT,Q,195
314,2011,2,FELONY ASSAULT,S,39
315,2011,2,FORCIBLE TOUCHING,B,12
316,2011,2,FORCIBLE TOUCHING,K,10
317,2011,2,FORCIBLE TOUCHING,M,18
318,2011,2,FORCIBLE TOUCHING,Q,12
319,2011,2,FORCIBLE TOUCHING,S,8
320,2011,2,FORGERY,B,73
321,2011,2,FORGERY,K,122
322,2011,2,FORGERY,M,148
323,2011,2,FORGERY,Q,128
324,2011,2,FORGERY,S,9
325,2011,2,FRAUDS,B,24
326,2011,2,FRAUDS,K,39
327,2011,2,FRAUDS,M,53
328,2011,2,FRAUDS,Q,10
329,2011,2,FRAUDS,S,3
330,2011,2,FRAUDULENT ACCOSTING,K,1
331,2011,2,FRAUDULENT ACCOSTING,M,4
332,2011,2,GAMBLING,B,13
333,2011,2,GAMBLING,K,20
334,2011,2,GAMBLING,M,41
335,2011,2,GAMBLING,Q,9
336,2011,2,GRAND LARCENY,B,77
337,2011,2,GRAND LARCENY,K,121
338,2011,2,GRAND LARCENY,M,201
339,2011,2,GRAND LARCENY,Q,79
340,2011,2,GRAND LARCENY,S,16
341,2011,2,GRAND LARCENY OF MOTOR VEHICLE,B,11
342,2011,2,GRAND LARCENY OF MOTOR VEHICLE,K,18
343,2011,2,GRAND LARCENY OF MOTOR VEHICLE,Q,38
344,2011,2,GRAND LARCENY OF MOTOR VEHICLE,S,1
345,2011,2,HARASSMENT,B,52
346,2011,2,HARASSMENT,K,33
347,2011,2,HARASSMENT,M,30
348,2011,2,HARASSMENT,Q,22
349,2011,2,HARASSMENT,S,5
350,2011,2,HARRASSMENT 2,B,4
351,2011,2,HARRASSMENT 2,K,11
352,2011,2,HARRASSMENT 2,M,8
353,2011,2,HARRASSMENT 2,Q,2
354,2011,2,INTOXICATED & IMPAIRED DRIVING,B,94
355,2011,2,INTOXICATED & IMPAIRED DRIVING,K,148
356,2011,2,INTOXICATED & IMPAIRED DRIVING,M,165
357,2011,2,INTOXICATED & IMPAIRED DRIVING,Q,210
358,2011,2,INTOXICATED & IMPAIRED DRIVING,S,41
359,2011,2,INTOXICATED/IMPAIRED DRIVING,B,9
360,2011,2,INTOXICATED/IMPAIRED DRIVING,K,13
361,2011,2,INTOXICATED/IMPAIRED DRIVING,M,6
362,2011,2,INTOXICATED/IMPAIRED DRIVING,Q,27
363,2011,2,INTOXICATED/IMPAIRED DRIVING,S,2
364,2011,2,JOSTLING,K,2
365,2011,2,JOSTLING,M,2
366,2011,2,KIDNAPPING & RELATED OFFENSES,B,1
367,2011,2,KIDNAPPING & RELATED OFFENSES,K,9
368,2011,2,KIDNAPPING & RELATED OFFENSES,M,1
369,2011,2,KIDNAPPING & RELATED OFFENSES,S,1
370,2011,2,LOITERING,K,1
371,2011,2,LOITERING,M,2
372,2011,2,LOITERING FOR DRUG PURPOSES,M,7
373,2011,2,MISCELLANEOUS PENAL LAW,B,167
374,2011,2,MISCELLANEOUS PENAL LAW,K,321
375,2011,2,MISCELLANEOUS PENAL LAW,M,199
376,2011,2,MISCELLANEOUS PENAL LAW,Q,256
377,2011,2,MISCELLANEOUS PENAL LAW,S,42
378,2011,2,MOVING INFRACTIONS,B,6
379,2011,2,MOVING INFRACTIONS,K,6
380,2011,2,MOVING INFRACTIONS,M,12
381,2011,2,MOVING INFRACTIONS,Q,26
382,2011,2,MURDER & NON-NEGL. MANSLAUGHTER,B,19
383,2011,2,MURDER & NON-NEGL. MANSLAUGHTER,K,20
384,2011,2,MURDER & NON-NEGL. MANSLAUGHTER,M,9
385,2011,2,MURDER & NON-NEGL. MANSLAUGHTER,Q,17
386,2011,2,MURDER & NON-NEGL. MANSLAUGHTER,S,4
387,2011,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,B,190
388,2011,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,K,108
389,2011,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,M,91
390,2011,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,Q,61
391,2011,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,S,9
392,2011,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,B,355
393,2011,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,K,267
394,2011,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,M,232
395,2011,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,Q,237
396,2011,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,S,43
397,2011,2,OFFENSES AGAINST PUBLIC SAFETY,B,1
398,2011,2,OFFENSES AGAINST PUBLIC SAFETY,K,1
399,2011,2,OFFENSES AGAINST PUBLIC SAFETY,S,1
400,2011,2,OFFENSES AGAINST THE PERSON,B,34
401,2011,2,OFFENSES AGAINST THE PERSON,K,32
402,2011,2,OFFENSES AGAINST THE PERSON,M,34
403,2011,2,OFFENSES AGAINST THE PERSON,Q,11
404,2011,2,OFFENSES AGAINST THE PERSON,S,6
405,2011,2,OFFENSES INVOLVING FRAUD,B,23
406,2011,2,OFFENSES INVOLVING FRAUD,K,23
407,2011,2,OFFENSES INVOLVING FRAUD,M,129
408,2011,2,OFFENSES INVOLVING FRAUD,Q,14
409,2011,2,OFFENSES INVOLVING FRAUD,S,1
410,2011,2,OFFENSES RELATED TO CHILDREN,B,7
411,2011,2,OFFENSES RELATED TO CHILDREN,K,2
412,2011,2,OFFENSES RELATED TO CHILDREN,Q,11
413,2011,2,OFFENSES RELATED TO CHILDREN,S,2
414,2011,2,OTHER OFFENSES RELATED TO THEFT,B,501
415,2011,2,OTHER OFFENSES RELATED TO THEFT,K,590
416,2011,2,OTHER OFFENSES RELATED TO THEFT,M,857
417,2011,2,OTHER OFFENSES RELATED TO THEFT,Q,219
418,2011,2,OTHER OFFENSES RELATED TO THEFT,S,4
419,2011,2,OTHER STATE LAWS,B,247
420,2011,2,OTHER STATE LAWS,K,718
421,2011,2,OTHER STATE LAWS,M,683
422,2011,2,OTHER STATE LAWS,Q,352
423,2011,2,OTHER STATE LAWS,S,6
424,2011,2,OTHER STATE LAWS (NON PENAL LA,B,32
425,2011,2,OTHER STATE LAWS (NON PENAL LA,K,19
426,2011,2,OTHER STATE LAWS (NON PENAL LA,M,40
427,2011,2,OTHER STATE LAWS (NON PENAL LA,Q,7
428,2011,2,OTHER STATE LAWS (NON PENAL LA,S,4
429,2011,2,OTHER STATE LAWS (NON PENAL LAW),B,82
430,2011,2,OTHER STATE LAWS (NON PENAL LAW),K,50
431,2011,2,OTHER STATE LAWS (NON PENAL LAW),M,280
432,2011,2,OTHER STATE LAWS (NON PENAL LAW),Q,59
433,2011,2,OTHER STATE LAWS (NON PENAL LAW),S,3
434,2011,2,OTHER TRAFFIC INFRACTION,B,456
435,2011,2,OTHER TRAFFIC INFRACTION,K,652
436,2011,2,OTHER TRAFFIC INFRACTION,M,462
437,2011,2,OTHER TRAFFIC INFRACTION,Q,472
438,2011,2,OTHER TRAFFIC INFRACTION,S,66
439,2011,2,PARKING OFFENSES,Q,1
440,2011,2,PETIT LARCENY,B,192
441,2011,2,PETIT LARCENY,K,119
442,2011,2,PETIT LARCENY,M,243
443,2011,2,PETIT LARCENY,Q,124
444,2011,2,PETIT LARCENY,S,20
445,2011,2,POSSESSION OF STOLEN PROPERTY,B,11
446,2011,2,POSSESSION OF STOLEN PROPERTY,K,34
447,2011,2,POSSESSION OF STOLEN PROPERTY,M,28
448,2011,2,POSSESSION OF STOLEN PROPERTY,Q,27
449,2011,2,POSSESSION OF STOLEN PROPERTY,S,3
450,2011,2,POSSESSION OF STOLEN PROPERTY 5,B,121
451,2011,2,POSSESSION OF STOLEN PROPERTY 5,K,336
452,2011,2,POSSESSION OF STOLEN PROPERTY 5,M,625
453,2011,2,POSSESSION OF STOLEN PROPERTY 5,Q,264
454,2011,2,POSSESSION OF STOLEN PROPERTY 5,S,64
455,2011,2,PROSTITUTION & RELATED OFFENSES,B,77
456,2011,2,PROSTITUTION & RELATED OFFENSES,K,54
457,2011,2,PROSTITUTION & RELATED OFFENSES,M,32
458,2011,2,PROSTITUTION & RELATED OFFENSES,Q,95
459,2011,2,RAPE,B,15
460,2011,2,RAPE,K,18
461,2011,2,RAPE,M,15
462,2011,2,RAPE,Q,16
463,2011,2,RAPE,S,2
464,2011,2,ROBBERY,B,221
465,2011,2,ROBBERY,K,258
466,2011,2,ROBBERY,M,146
467,2011,2,ROBBERY,Q,210
468,2011,2,ROBBERY,S,26
469,2011,2,SEX CRIMES,B,42
470,2011,2,SEX CRIMES,K,37
471,2011,2,SEX CRIMES,M,38
472,2011,2,SEX CRIMES,Q,41
473,2011,2,SEX CRIMES,S,6
474,2011,2,THEFT-FRAUD,B,3
475,2011,2,THEFT-FRAUD,K,17
476,2011,2,THEFT-FRAUD,M,27
477,2011,2,THEFT-FRAUD,Q,15
478,2011,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),B,11
479,2011,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),K,23
480,2011,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),M,16
481,2011,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),Q,26
482,2011,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),S,2
483,2011,2,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,B,1
484,2011,2,VEHICLE AND TRAFFIC LAWS,B,88
485,2011,2,VEHICLE AND TRAFFIC LAWS,K,139
486,2011,2,VEHICLE AND TRAFFIC LAWS,M,117
487,2011,2,VEHICLE AND TRAFFIC LAWS,Q,146
488,2011,2,VEHICLE AND TRAFFIC LAWS,S,42
489,2011,3,,B,25
490,2011,3,,K,17
491,2011,3,,M,34
492,2011,3,,Q,5
493,2011,3,ADMINISTRATIVE CODE,K,1
494,2011,3,ADMINISTRATIVE CODE,M,4
495,2011,3,ALCOHOLIC BEVERAGE CONTROL LAW,B,1
496,2011,3,ALCOHOLIC BEVERAGE CONTROL LAW,K,16
497,2011,3,ALCOHOLIC BEVERAGE CONTROL LAW,M,3
498,2011,3,ALCOHOLIC BEVERAGE CONTROL LAW,Q,5
499,2011,3,ALCOHOLIC BEVERAGE CONTROL LAW,S,6
500,2011,3,ANTICIPATORY OFFENSES,B,1
501,2011,3,ANTICIPATORY OFFENSES,K,1
502,2011,3,ANTICIPATORY OFFENSES,M,2
503,2011,3,ARSON,B,3
504,2011,3,ARSON,K,4
505,2011,3,ARSON,Q,2
506,2011,3,ARSON,S,3
507,2011,3,ASSAULT 3 & RELATED OFFENSES,B,903
508,2011,3,ASSAULT 3 & RELATED OFFENSES,K,1023
509,2011,3,ASSAULT 3 & RELATED OFFENSES,M,608
510,2011,3,ASSAULT 3 & RELATED OFFENSES,Q,644
511,2011,3,ASSAULT 3 & RELATED OFFENSES,S,137
