,ARREST_YEAR,ARREST_MONTH,OFNS_DESC,ARREST_BORO,n
1,2011,1,,B,11
2,2011,1,,K,8
3,2011,1,,M,38
4,2011,1,,Q,2
5,2011,1,ADMINISTRATIVE CODE,M,1
6,2011,1,ALCOHOLIC BEVERAGE CONTROL LAW,B,6
7,2011,1,ALCOHOLIC BEVERAGE CONTROL LAW,K,5
8,2011,1,ALCOHOLIC BEVERAGE CONTROL LAW,M,2
9,2011,1,ALCOHOLIC BEVERAGE CONTROL LAW,Q,11
10,2011,1,ALCOHOLIC BEVERAGE CONTROL LAW,S,3
11,2011,1,ANTICIPATORY OFFENSES,M,1
12,2011,1,ARSON,B,4
13,2011,1,ARSON,K,1
14,2011,1,ARSON,M,1
15,2011,1,ASSAULT 3 & RELATED OFFENSES,B,800
16,2011,1,ASSAULT 3 & RELATED OFFENSES,K,850
17,2011,1,ASSAULT 3 & RELATED OFFENSES,M,526
18,2011,1,ASSAULT 3 & RELATED OFFENSES,Q,634
19,2011,1,ASSAULT 3 & RELATED OFFENSES,S,133
20,2011,1,BURGLAR'S TOOLS,B,1
21,2011,1,BURGLAR'S TOOLS,K,3
22,2011,1,BURGLAR'S TOOLS,M,5
23,2011,1,BURGLAR'S TOOLS,Q,4
24,2011,1,BURGLAR'S TOOLS,S,2
25,2011,1,BURGLARY,B,77
26,2011,1,BURGLARY,K,120
27,2011,1,BURGLARY,M,79
28,2011,1,BURGLARY,Q,72
29,2011,1,BURGLARY,S,5
30,2011,1,CHILD ABANDONMENT/NON SUPPORT 1,K,1
31,2011,1,CRIMINAL MISCHIEF & RELATED OFFENSES,B,187
32,2011,1,CRIMINAL MISCHIEF & RELATED OFFENSES,K,253
33,2011,1,CRIMINAL MISCHIEF & RELATED OFFENSES,M,214
34,2011,1,CRIMINAL MISCHIEF & RELATED OFFENSES,Q,340
35,2011,1,CRIMINAL MISCHIEF & RELATED OFFENSES,S,53
36,2011,1,CRIMINAL TRESPASS,B,990
37,2011,1,CRIMINAL TRESPASS,K,453
38,2011,1,CRIMINAL TRESPASS,M,546
39,2011,1,CRIMINAL TRESPASS,Q,235
40,2011,1,CRIMINAL TRESPASS,S,29
41,2011,1,DANGEROUS DRUGS,B,2482
42,2011,1,DANGEROUS DRUGS,K,2773
43,2011,1,DANGEROUS DRUGS,M,1737
44,2011,1,DANGEROUS DRUGS,Q,1050
45,2011,1,DANGEROUS DRUGS,S,319
46,2011,1,DANGEROUS WEAPONS,B,434
47,2011,1,DANGEROUS WEAPONS,K,357
48,2011,1,DANGEROUS WEAPONS,M,296
49,2011,1,DANGEROUS WEAPONS,Q,278
50,2011,1,DANGEROUS WEAPONS,S,67
51,2011,1,DISORDERLY CONDUCT,B,10
52,2011,1,DISORDERLY CONDUCT,K,45
53,2011,1,DISORDERLY CONDUCT,M,95
54,2011,1,DISORDERLY CONDUCT,Q,74
55,2011,1,ESCAPE 3,Q,2
56,2011,1,F.C.A. P.I.N.O.S.,B,16
57,2011,1,F.C.A. P.I.N.O.S.,K,9
58,2011,1,F.C.A. P.I.N.O.S.,M,22
59,2011,1,F.C.A. P.I.N.O.S.,Q,27
60,2011,1,F.C.A. P.I.N.O.S.,S,1
61,2011,1,FELONY ASSAULT,B,263
62,2011,1,FELONY ASSAULT,K,356
63,2011,1,FELONY ASSAULT,M,220
64,2011,1,FELONY ASSAULT,Q,203
65,2011,1,FELONY ASSAULT,S,47
66,2011,1,FORCIBLE TOUCHING,B,12
67,2011,1,FORCIBLE TOUCHING,K,13
68,2011,1,FORCIBLE TOUCHING,M,12
69,2011,1,FORCIBLE TOUCHING,Q,9
70,2011,1,FORCIBLE TOUCHING,S,2
71,2011,1,FORGERY,B,61
72,2011,1,FORGERY,K,108
73,2011,1,FORGERY,M,151
74,2011,1,FORGERY,Q,92
75,2011,1,FORGERY,S,18
76,2011,1,FRAUDS,B,29
77,2011,1,FRAUDS,K,32
78,2011,1,FRAUDS,M,41
79,2011,1,FRAUDS,Q,18
80,2011,1,FRAUDS,S,5
81,2011,1,FRAUDULENT ACCOSTING,M,14
82,2011,1,GAMBLING,B,9
83,2011,1,GAMBLING,K,25
84,2011,1,GAMBLING,M,28
85,2011,1,GAMBLING,Q,3
86,2011,1,GRAND LARCENY,B,62
87,2011,1,GRAND LARCENY,K,133
88,2011,1,GRAND LARCENY,M,239
89,2011,1,GRAND LARCENY,Q,85
90,2011,1,GRAND LARCENY,S,19
91,2011,1,GRAND LARCENY OF MOTOR VEHICLE,B,6
92,2011,1,GRAND LARCENY OF MOTOR VEHICLE,K,17
93,2011,1,GRAND LARCENY OF MOTOR VEHICLE,M,8
94,2011,1,GRAND LARCENY OF MOTOR VEHICLE,Q,44
95,2011,1,GRAND LARCENY OF MOTOR VEHICLE,S,7
96,2011,1,HARASSMENT,B,41
97,2011,1,HARASSMENT,K,38
98,2011,1,HARASSMENT,M,36
99,2011,1,HARASSMENT,Q,23
100,2011,1,HARASSMENT,S,5
101,2011,1,HARRASSMENT 2,B,4
102,2011,1,HARRASSMENT 2,K,4
103,2011,1,HARRASSMENT 2,M,2
104,2011,1,HARRASSMENT 2,Q,1
105,2011,1,HARRASSMENT 2,S,1
106,2011,1,INTOXICATED & IMPAIRED DRIVING,B,92
107,2011,1,INTOXICATED & IMPAIRED DRIVING,K,126
108,2011,1,INTOXICATED & IMPAIRED DRIVING,M,139
109,2011,1,INTOXICATED & IMPAIRED DRIVING,Q,214
110,2011,1,INTOXICATED & IMPAIRED DRIVING,S,33
111,2011,1,INTOXICATED/IMPAIRED DRIVING,B,6
112,2011,1,INTOXICATED/IMPAIRED DRIVING,K,17
113,2011,1,INTOXICATED/IMPAIRED DRIVING,M,9
114,2011,1,INTOXICATED/IMPAIRED DRIVING,Q,17
115,2011,1,INTOXICATED/IMPAIRED DRIVING,S,1
116,2011,1,JOSTLING,K,7
117,2011,1,JOSTLING,M,6
118,2011,1,KIDNAPPING & RELATED OFFENSES,B,9
119,2011,1,KIDNAPPING & RELATED OFFENSES,K,6
120,2011,1,KIDNAPPING & RELATED OFFENSES,M,2
121,2011,1,KIDNAPPING & RELATED OFFENSES,Q,2
122,2011,1,LOITERING,M,3
123,2011,1,LOITERING FOR DRUG PURPOSES,K,26
124,2011,1,LOITERING FOR DRUG PURPOSES,M,1
125,2011,1,LOITERING FOR DRUG PURPOSES,S,1
126,2011,1,LOITERING/GAMBLING (CARDS, DICE, ETC),M,1
127,2011,1,LOITERING/GAMBLING (CARDS, DICE, ETC),Q,1
128,2011,1,MISCELLANEOUS PENAL LAW,B,140
129,2011,1,MISCELLANEOUS PENAL LAW,K,314
130,2011,1,MISCELLANEOUS PENAL LAW,M,182
131,2011,1,MISCELLANEOUS PENAL LAW,Q,239
132,2011,1,MISCELLANEOUS PENAL LAW,S,50
133,2011,1,MOVING INFRACTIONS,B,7
134,2011,1,MOVING INFRACTIONS,K,10
135,2011,1,MOVING INFRACTIONS,M,26
136,2011,1,MOVING INFRACTIONS,Q,46
137,2011,1,MOVING INFRACTIONS,S,2
138,2011,1,MURDER & NON-NEGL. MANSLAUGHTER,B,24
139,2011,1,MURDER & NON-NEGL. MANSLAUGHTER,K,15
140,2011,1,MURDER & NON-NEGL. MANSLAUGHTER,M,18
141,2011,1,MURDER & NON-NEGL. MANSLAUGHTER,Q,16
142,2011,1,MURDER & NON-NEGL. MANSLAUGHTER,S,2
143,2011,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,B,162
144,2011,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,K,122
145,2011,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,M,132
146,2011,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,Q,94
147,2011,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,S,11
148,2011,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,B,363
149,2011,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,K,213
150,2011,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,M,234
151,2011,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,Q,187
152,2011,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,S,52
153,2011,1,OFFENSES AGAINST PUBLIC SAFETY,B,1
154,2011,1,OFFENSES AGAINST PUBLIC SAFETY,S,1
155,2011,1,OFFENSES AGAINST THE PERSON,B,24
156,2011,1,OFFENSES AGAINST THE PERSON,K,23
157,2011,1,OFFENSES AGAINST THE PERSON,M,28
158,2011,1,OFFENSES AGAINST THE PERSON,Q,19
159,2011,1,OFFENSES AGAINST THE PERSON,S,6
160,2011,1,OFFENSES INVOLVING FRAUD,B,42
161,2011,1,OFFENSES INVOLVING FRAUD,K,39
162,2011,1,OFFENSES INVOLVING FRAUD,M,89
163,2011,1,OFFENSES INVOLVING FRAUD,Q,19
164,2011,1,OFFENSES INVOLVING FRAUD,S,2
165,2011,1,OFFENSES RELATED TO CHILDREN,B,9
166,2011,1,OFFENSES RELATED TO CHILDREN,K,5
167,2011,1,OFFENSES RELATED TO CHILDREN,M,4
168,2011,1,OFFENSES RELATED TO CHILDREN,Q,8
169,2011,1,OTHER OFFENSES RELATED TO THEFT,B,511
170,2011,1,OTHER OFFENSES RELATED TO THEFT,K,659
171,2011,1,OTHER OFFENSES RELATED TO THEFT,M,1059
172,2011,1,OTHER OFFENSES RELATED TO THEFT,Q,262
173,2011,1,OTHER OFFENSES RELATED TO THEFT,S,1
174,2011,1,OTHER STATE LAWS,B,178
175,2011,1,OTHER STATE LAWS,K,645
176,2011,1,OTHER STATE LAWS,M,717
177,2011,1,OTHER STATE LAWS,Q,314
178,2011,1,OTHER STATE LAWS,S,12
179,2011,1,OTHER STATE LAWS (NON PENAL LA,B,46
180,2011,1,OTHER STATE LAWS (NON PENAL LA,K,10
181,2011,1,OTHER STATE LAWS (NON PENAL LA,M,27
182,2011,1,OTHER STATE LAWS (NON PENAL LA,Q,9
183,2011,1,OTHER STATE LAWS (NON PENAL LA,S,1
184,2011,1,OTHER STATE LAWS (NON PENAL LAW),B,51
185,2011,1,OTHER STATE LAWS (NON PENAL LAW),K,29
186,2011,1,OTHER STATE LAWS (NON PENAL LAW),M,311
187,2011,1,OTHER STATE LAWS (NON PENAL LAW),Q,51
188,2011,1,OTHER STATE LAWS (NON PENAL LAW),S,2
189,2011,1,OTHER TRAFFIC INFRACTION,B,458
190,2011,1,OTHER TRAFFIC INFRACTION,K,521
191,2011,1,OTHER TRAFFIC INFRACTION,M,427
192,2011,1,OTHER TRAFFIC INFRACTION,Q,427
193,2011,1,OTHER TRAFFIC INFRACTION,S,64
194,2011,1,PARKING OFFENSES,Q,1
195,2011,1,PETIT LARCENY,B,162
196,2011,1,PETIT LARCENY,K,135
197,2011,1,PETIT LARCENY,M,260
198,2011,1,PETIT LARCENY,Q,124
199,2011,1,PETIT LARCENY,S,14
200,2011,1,POSSESSION OF STOLEN PROPERTY,B,20
201,2011,1,POSSESSION OF STOLEN PROPERTY,K,24
202,2011,1,POSSESSION OF STOLEN PROPERTY,M,25
203,2011,1,POSSESSION OF STOLEN PROPERTY,Q,21
204,2011,1,POSSESSION OF STOLEN PROPERTY,S,3
205,2011,1,POSSESSION OF STOLEN PROPERTY 5,B,167
206,2011,1,POSSESSION OF STOLEN PROPERTY 5,K,348
207,2011,1,POSSESSION OF STOLEN PROPERTY 5,M,679
208,2011,1,POSSESSION OF STOLEN PROPERTY 5,Q,253
209,2011,1,POSSESSION OF STOLEN PROPERTY 5,S,65
210,2011,1,PROSTITUTION & RELATED OFFENSES,B,71
211,2011,1,PROSTITUTION & RELATED OFFENSES,K,55
212,2011,1,PROSTITUTION & RELATED OFFENSES,M,22
213,2011,1,PROSTITUTION & RELATED OFFENSES,Q,87
214,2011,1,PROSTITUTION & RELATED OFFENSES,S,4
215,2011,1,RAPE,B,13
216,2011,1,RAPE,K,18
217,2011,1,RAPE,M,17
218,2011,1,RAPE,Q,19
219,2011,1,RAPE,S,4
220,2011,1,ROBBERY,B,256
221,2011,1,ROBBERY,K,333
222,2011,1,ROBBERY,M,203
223,2011,1,ROBBERY,Q,201
224,2011,1,ROBBERY,S,41
225,2011,1,SEX CRIMES,B,35
226,2011,1,SEX CRIMES,K,38
227,2011,1,SEX CRIMES,M,47
228,2011,1,SEX CRIMES,Q,22
229,2011,1,SEX CRIMES,S,6
230,2011,1,THEFT-FRAUD,B,4
231,2011,1,THEFT-FRAUD,K,14
232,2011,1,THEFT-FRAUD,M,49
233,2011,1,THEFT-FRAUD,Q,9
234,2011,1,THEFT-FRAUD,S,2
235,2011,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),B,5
236,2011,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),K,16
237,2011,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),M,6
238,2011,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),Q,11
239,2011,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),S,7
240,2011,1,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,B,1
241,2011,1,VEHICLE AND TRAFFIC LAWS,B,86
242,2011,1,VEHICLE AND TRAFFIC LAWS,K,112
243,2011,1,VEHICLE AND TRAFFIC LAWS,M,104
244,2011,1,VEHICLE AND TRAFFIC LAWS,Q,122
245,2011,1,VEHICLE AND TRAFFIC LAWS,S,34
246,2011,2,,B,25
247,2011,2,,K,8
248,2011,2,,M,26
249,2011,2,,Q,8
250,2011,2,,S,1
251,2011,2,ADMINISTRATIVE CODE,M,3
252,2011,2,ALCOHOLIC BEVERAGE CONTROL LAW,B,5
253,2011,2,ALCOHOLIC BEVERAGE CONTROL LAW,K,2
254,2011,2,ALCOHOLIC BEVERAGE CONTROL LAW,M,6
255,2011,2,ALCOHOLIC BEVERAGE CONTROL LAW,Q,5
256,2011,2,ANTICIPATORY OFFENSES,K,2
257,2011,2,ANTICIPATORY OFFENSES,M,3
258,2011,2,ANTICIPATORY OFFENSES,Q,1
259,2011,2,ANTICIPATORY OFFENSES,S,1
260,2011,2,ARSON,B,2
261,2011,2,ARSON,K,8
262,2011,2,ARSON,M,1
263,2011,2,ASSAULT 3 & RELATED OFFENSES,B,720
264,2011,2,ASSAULT 3 & RELATED OFFENSES,K,858
265,2011,2,ASSAULT 3 & RELATED OFFENSES,M,518
266,2011,2,ASSAULT 3 & RELATED OFFENSES,Q,549
267,2011,2,ASSAULT 3 & RELATED OFFENSES,S,109
268,2011,2,BURGLAR'S TOOLS,B,2
269,2011,2,BURGLAR'S TOOLS,K,4
270,2011,2,BURGLAR'S TOOLS,M,7
271,2011,2,BURGLAR'S TOOLS,Q,5
272,2011,2,BURGLARY,B,69
273,2011,2,BURGLARY,K,94
274,2011,2,BURGLARY,M,80
275,2011,2,BURGLARY,Q,60
276,2011,2,BURGLARY,S,21
277,2011,2,CHILD ABANDONMENT/NON SUPPORT 1,B,1
278,2011,2,CRIMINAL MISCHIEF & RELATED OFFENSES,B,157
279,2011,2,CRIMINAL MISCHIEF & RELATED OFFENSES,K,287
280,2011,2,CRIMINAL MISCHIEF & RELATED OFFENSES,M,183
281,2011,2,CRIMINAL MISCHIEF & RELATED OFFENSES,Q,232
282,2011,2,CRIMINAL MISCHIEF & RELATED OFFENSES,S,52
283,2011,2,CRIMINAL TRESPASS,B,970
284,2011,2,CRIMINAL TRESPASS,K,395
285,2011,2,CRIMINAL TRESPASS,M,555
286,2011,2,CRIMINAL TRESPASS,Q,228
287,2011,2,CRIMINAL TRESPASS,S,45
288,2011,2,DANGEROUS DRUGS,B,2595
289,2011,2,DANGEROUS DRUGS,K,2908
290,2011,2,DANGEROUS DRUGS,M,1749
291,2011,2,DANGEROUS DRUGS,Q,1165
292,2011,2,DANGEROUS DRUGS,S,331
293,2011,2,DANGEROUS WEAPONS,B,506
294,2011,2,DANGEROUS WEAPONS,K,408
295,2011,2,DANGEROUS WEAPONS,M,224
296,2011,2,DANGEROUS WEAPONS,Q,277
297,2011,2,DANGEROUS WEAPONS,S,57
298,2011,2,DISORDERLY CONDUCT,B,11
299,2011,2,DISORDERLY CONDUCT,K,42
300,2011,2,DISORDERLY CONDUCT,M,96
301,2011,2,DISORDERLY CONDUCT,Q,72
302,2011,2,DISORDERLY CONDUCT,S,4
303,2011,2,ESCAPE 3,K,1
304,2011,2,ESCAPE 3,M,2
305,2011,2,F.C.A. P.I.N.O.S.,B,26
306,2011,2,F.C.A. P.I.N.O.S.,K,13
307,2011,2,F.C.A. P.I.N.O.S.,M,36
